Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
83767,01/01/00,0,,29.9,,3.5,1.2,23.84,79.25,0.666667
83767,01/01/00,1200,90.3,,20.3,,,,,
83767,02/01/00,0,,29,,4.8,3.2,24.3,66.25,1
83767,02/01/00,1200,0,,18.5,,,,,
83767,03/01/00,0,,28,,9.3,4.5,23.2,72.25,0.666667
83767,03/01/00,1200,2.3,,19.3,,,,,
83767,04/01/00,0,,29.4,,6.8,4.6,23.88,74.75,1
83767,04/01/00,1200,0.6,,19.3,,,,,
83767,05/01/00,0,,31.5,,9.2,3.3,25.54,66.25,0.333333
83767,05/01/00,1200,1.3,,19.9,,,,,
83767,06/01/00,0,,31.9,,10.2,5.4,25.92,65.5,0.666667
83767,06/01/00,1200,0,,21.2,,,,,
83767,07/01/00,0,,30.5,,5.5,5,23.46,85,1.333333
83767,07/01/00,1200,0.5,,18.9,,,,,
83767,08/01/00,0,,30.2,,8,2.5,24.48,65,0.666667
83767,08/01/00,1200,36.2,,18.4,,,,,
83767,09/01/00,0,,30,,5.7,4.4,24.42,85,0.333333
83767,09/01/00,1200,0,,21,,,,,
83767,10/01/00,0,,32.6,,8.8,2.5,24.86,74.25,1
83767,10/01/00,1200,16.2,,20.1,,,,,
83767,11/01/00,0,,31.7,,5.3,3.6,24.14,77.5,1
83767,11/01/00,1200,32.5,,17.2,,,,,
83767,12/01/00,0,,31,,8.4,2.8,25.12,75.75,0.666667
83767,12/01/00,1200,1.9,,20.7,,,,,
83767,13/01/00,0,,32.5,,8.6,4.1,25.28,77.5,0.666667
83767,13/01/00,1200,0,,21.6,,,,,
83767,14/01/00,0,,31,,6.9,3.2,25.44,78.75,0.666667
83767,14/01/00,1200,11.2,,22,,,,,
83767,15/01/00,0,,30.7,,7,2.5,26.06,76.25,0.333333
83767,15/01/00,1200,8.6,,20.8,,,,,
83767,16/01/00,0,,34.2,,10.7,2.9,28.42,65,0.333333
83767,16/01/00,1200,3,,22.6,,,,,
83767,17/01/00,0,,33.5,,7.9,5,28.82,58.5,0.333333
